id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True
331,0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True
332,0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False
333,0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False
335,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
336,0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
339,0,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
343,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
344,0,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
350,0,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True
351,0,1,male,,0,0,35.0,S,First,man,True,C,Southampton,no,True
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False
354,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
355,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
360,0,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False
361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
364,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
365,0,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False
372,0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
373,0,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True
377,0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
382,0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
384,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
385,0,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
388,0,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True
390,1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
397,0,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
398,0,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
403,0,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True
408,0,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
410,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
411,0,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True
413,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
418,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
420,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True
424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False
425,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
428,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
433,0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
434,0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False
438,0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
441,0,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False
444,1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True
447,1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
449,1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
450,0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False
451,0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
452,0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
453,1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
454,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
455,1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True
456,0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True
459,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
460,1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
461,0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
462,0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True
463,0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
464,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
465,0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
466,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
467,0,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True
468,0,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True
470,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
471,0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
475,0,1,male,,0,0,52.0,S,First,man,True,A,Southampton,no,True
476,0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
477,0,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False
478,0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True
481,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
482,0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
484,1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
487,0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
488,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
490,0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
491,0,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
492,0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True
493,0,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True
494,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
495,0,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True
497,0,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True
499,0,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
500,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
505,0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False
507,1,1,male,,0,0,26.55,S,First,man,True,,Southampton,yes,True
508,0,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True
509,1,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
510,1,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True
511,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
512,1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
514,0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
515,0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True
517,0,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True
519,0,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
521,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
522,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
524,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
525,0,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
527,0,1,male,,0,0,221.7792,S,First,man,True,C,Southampton,no,True
528,0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
529,0,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False
531,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
532,0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False
536,0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True
538,0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True
543,1,2,male,32.0,1,0,26.0,S,Second,man,True,,Southampton,yes,False
544,0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False
545,0,1,male,64.0,0,0,26.0,S,First,man,True,,Southampton,no,True
547,1,2,male,,0,0,13.8625,C,Second,man,True,,Cherbourg,yes,True
548,0,3,male,33.0,1,1,20.525,S,Third,man,True,,Southampton,no,False
550,1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False
551,0,2,male,27.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
552,0,3,male,,0,0,7.8292,Q,Third,man,True,,Queenstown,no,True
553,1,3,male,22.0,0,0,7.225,C,Third,man,True,,Cherbourg,yes,True
555,0,1,male,62.0,0,0,26.55,S,First,man,True,,Southampton,no,True
557,0,1,male,,0,0,227.525,C,First,man,True,,Cherbourg,no,True
560,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
561,0,3,male,40.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
562,0,2,male,28.0,0,0,13.5,S,Second,man,True,,Southampton,no,True
563,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
565,0,3,male,24.0,2,0,24.15,S,Third,man,True,,Southampton,no,False
566,0,3,male,19.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
568,0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
569,1,3,male,32.0,0,0,7.8542,S,Third,man,True,,Southampton,yes,True
570,1,2,male,62.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True
572,1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True
574,0,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
575,0,3,male,19.0,0,0,14.5,S,Third,man,True,,Southampton,no,True
579,1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
582,0,2,male,54.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
583,0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True
584,0,3,male,,0,0,8.7125,C,Third,man,True,,Cherbourg,no,True
586,0,2,male,47.0,0,0,15.0,S,Second,man,True,,Southampton,no,True
587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False
588,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
589,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
590,0,3,male,35.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
592,0,3,male,47.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
594,0,2,male,37.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
595,0,3,male,36.0,1,1,24.15,S,Third,man,True,,Southampton,no,False
597,0,3,male,49.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
598,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False
601,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
602,0,1,male,,0,0,42.4,S,First,man,True,,Southampton,no,True
